year,resilience_R,attack_steps
2000,0.7383401989557182,"[0.9952677298068192, 0.943807856865033, 0.8923693763775441, 0.8408608842214447, 0.7893909633086993, 0.7380798651627124, 0.6868057176196029, 0.6355607416050827, 0.5843352132762868, 0.5331971995332555, 0.48206664073641947]"
2001,0.739826374674177,"[0.9962378156529632, 0.944828136578693, 0.8934432537194321, 0.84210539816451, 0.7907664025537252, 0.7395454027247337, 0.6883586045716242, 0.6371874821866271, 0.586133785555492, 0.5351875391894206, 0.48429630051872563]"
2002,0.7414080610429731,"[0.996704428424302, 0.9455223995880531, 0.8943715242018534, 0.8432440782698248, 0.7921524201853757, 0.741160401647786, 0.6901758496395466, 0.63925798146241, 0.5884065396498455, 0.5376027291452109, 0.4868903192584961]"
2003,0.7432199774996853,"[0.9982321181136256, 0.9470906397821206, 0.8960172487935394, 0.8449488747670694, 0.7939263701084617, 0.742912943762244, 0.6920204023125806, 0.6411806584165513, 0.5904027903865451, 0.5396361507955468, 0.489051555258254]"
2004,0.7436942006906779,"[0.9981028953430644, 0.9471380821175301, 0.8961477483174483, 0.8452217805682284, 0.7942958128190071, 0.743427661592665, 0.6926487194543567, 0.6418923618952976, 0.5911931433217401, 0.5405892316726139, 0.48997877049550576]"
2005,0.7437766106867912,"[0.9979539001169236, 0.9470914063804914, 0.8962109570736587, 0.8453148488391514, 0.7944584098880908, 0.743596124937364, 0.6927983547686649, 0.642046726240187, 0.5913291297811925, 0.5406773008184399, 0.4900655587105395]"
2006,0.74422513645955,"[0.9983886437751742, 0.9474247074621128, 0.8965014387109145, 0.845627086130827, 0.7947604066756189, 0.7439900249376555, 0.6932578169959719, 0.6425712641473237, 0.5919054287358527, 0.5412862075580284, 0.49076347592557085]"
2007,0.7448705652146009,"[0.9984827099505957, 0.947685956245587, 0.8969077275935057, 0.8461559633027512, 0.7954221947776982, 0.7447353563867322, 0.6940516937191252, 0.6433978475652787, 0.5927745236414963, 0.5422168313338037, 0.4917454128440367]"
2008,0.7456487523876665,"[0.9985749320607128, 0.9479560217405708, 0.8973291575528602, 0.8466911910916682, 0.7961360774176444, 0.7455506396235174, 0.6949597335454364, 0.6444672565785113, 0.5939409756744221, 0.5434693776098628, 0.4930609133691259]"
2009,0.7462029137604724,"[0.9989947467410333, 0.9484198067319549, 0.8978283286853878, 0.8472373370516897, 0.7966403463259616, 0.7460795122900322, 0.6955618068616642, 0.6450486412867239, 0.5945717945392047, 0.5441312666191059, 0.49371846423244015]"
2010,0.7464555566791383,"[0.999046559669473, 0.9484954711584298, 0.897925949467663, 0.8474230096933091, 0.7968765294771967, 0.7463866200540284, 0.69589766407119, 0.6454354044176075, 0.5949348482440802, 0.5445038932146836, 0.49408517400285995]"
2011,0.7463957805002586,"[0.9991932230738229, 0.9485614546808582, 0.8979720420765205, 0.847361684301982, 0.7968169547274028, 0.7462792068762221, 0.6957423899214942, 0.6452634436962796, 0.5948415924535329, 0.5443610947342291, 0.49396049896049915]"
2012,0.7464000389034774,"[0.9990829894543742, 0.9485216261653676, 0.8979264863212595, 0.8473415864282445, 0.7967915329359622, 0.7462957359009631, 0.695774721075959, 0.6453094910591468, 0.5948332569157878, 0.5444638545009935, 0.4940591471801923]"
2013,0.7465509870870588,"[0.999180874946909, 0.9485956556034219, 0.8980316728353864, 0.8474890783326253, 0.7969756082761968, 0.7464559189369586, 0.695960348279837, 0.6454854074388682, 0.5950467204659917, 0.5446339724531274, 0.49420560038832584]"
2014,0.747142812152789,"[0.9992240113072627, 0.9487818363218139, 0.8983395227669546, 0.8479252002327965, 0.7974966050494697, 0.7470822825153121, 0.6966952581548094, 0.6462916054651774, 0.5959253665160875, 0.5455659174680599, 0.4952433278829362]"
2015,0.7468799896986869,"[0.9993399158392714, 0.948845127753788, 0.8983244863720121, 0.8478012321571003, 0.7972859539591299, 0.7467918534613166, 0.6963044913226436, 0.6458454577958687, 0.5954190159245303, 0.5450386424269094, 0.49468370967298303]"
2016,0.7469606455441908,"[0.9995356333142154, 0.9489701985850474, 0.8984180119642705, 0.8478906826190277, 0.7973699090387609, 0.7468561009587811, 0.6963828566745882, 0.6459085197628999, 0.5954776147941763, 0.5450525826982435, 0.4947049905760877]"
2017,0.7467940821344594,"[0.999220304350161, 0.9486937409259562, 0.8981389471420123, 0.8476169543474757, 0.7971788460504382, 0.74669785449266, 0.696236893047266, 0.6458322578910579, 0.5954237242566007, 0.5450328009894068, 0.4946625799860191]"
2018,0.7469403602685627,"[0.9991843607756442, 0.948693530139185, 0.8982020417291552, 0.8476934512063571, 0.7972332728181651, 0.7468053253348061, 0.6964217117899335, 0.6460416502223271, 0.5957030283895073, 0.5453278343463047, 0.4950377562028042]"
2019,0.7473887402249871,"[0.999454417915873, 0.9490266555818235, 0.8985771998649034, 0.8481600893715414, 0.7977221947987836, 0.7473221012704269, 0.6969227871450469, 0.6465484139149409, 0.5961749499883091, 0.5458505884492475, 0.4955167441739626]"
2020,0.7473475716834547,"[0.9993303456446675, 0.9489197960129817, 0.8985110492968638, 0.8481046206150521, 0.7976783598619486, 0.7472911193530106, 0.6969058105393295, 0.6465157368773498, 0.5961890228197606, 0.5458606346262811, 0.49551679287075645]"
2021,0.7475458561036848,"[0.9995938261575935, 0.9491616318034106, 0.8987107788383432, 0.8482990201056054, 0.7978897999593826, 0.7474824837530469, 0.6971043612916327, 0.646724588748985, 0.596372867587327, 0.5460102305036557, 0.4956548283915515]"
