year,resilience_R,attack_steps
2000,0.7388057942316985,"[0.9952677298068197, 0.9448982237780371, 0.8944638921301699, 0.8440295604823026, 0.7923635420718268, 0.7413457798521976, 0.6895501102035524, 0.6374951380785686, 0.5849215610009075, 0.5294308310644367, 0.4730973680798652]"
2001,0.7407409326693372,"[0.996237815652967, 0.9458473465199795, 0.8952288662144445, 0.8447813942883201, 0.7937068916376903, 0.7425183834007867, 0.6914438807501567, 0.6396283417887476, 0.5871287693096962, 0.5334891409679074, 0.47813942883201277]"
2002,0.7421496114596011,"[0.9967044284243048, 0.9464469618949537, 0.896086508753862, 0.8455200823892894, 0.7946961894953656, 0.7438208032955715, 0.6925334706488157, 0.6407826982492276, 0.5887744593202884, 0.5361997940267765, 0.48208032955715757]"
2003,0.7443781790382201,"[0.9982321181136222, 0.9479191552391418, 0.8974150699985666, 0.8469109847579913, 0.7965024607004635, 0.7456639113192222, 0.6949209231210283, 0.6435567872330259, 0.5916670648382627, 0.5392995365282622, 0.4860719575708347]"
2004,0.7441906302740126,"[0.9981028953430597, 0.9479651294096391, 0.8976015176837255, 0.847237905957812, 0.7967839559149013, 0.7456524684945119, 0.6947016577081169, 0.6430281403857446, 0.591173946429378, 0.538190523510547, 0.48565879217670177]"
2005,0.7446892509528221,"[0.99795390011692, 0.9478870886921663, 0.8976114915650576, 0.8470853515951228, 0.796559211625188, 0.745949557374311, 0.6947135460163688, 0.6436028060798397, 0.5926173375647236, 0.5403373976950059, 0.4872640721563387]"
2006,0.7447883787035908,"[0.9983886437751774, 0.9480145789372723, 0.8978323422213697, 0.8474199117590638, 0.7968156531747554, 0.7460195664684443, 0.6949549203913293, 0.6437751774410129, 0.5919048532514867, 0.5401879915595627, 0.487358526760023]"
2007,0.7450247000705715,"[0.9984827099505998, 0.9482357092448835, 0.8981298517995766, 0.8474947071277347, 0.7969301340860974, 0.7460479887085392, 0.695377558221595, 0.6439308398023994, 0.5925899788285109, 0.5403316866619619, 0.48772053634438955]"
2008,0.7458648927131727,"[0.9985749320607146, 0.948432425266786, 0.898157354013389, 0.8477828594153908, 0.7971100947835885, 0.7465367534963876, 0.6959302710943196, 0.6449923775435805, 0.5939219195333731, 0.5424537681447604, 0.4906210644926095]"
2009,0.7463754871498565,"[0.9989947467410338, 0.9488942214151371, 0.8987936960892405, 0.8481094753226539, 0.7976846747519294, 0.7470653090343083, 0.6964135157922045, 0.6456320124521694, 0.5945586613917894, 0.5427719047927881, 0.49121214086516635]"
2010,0.7464455455556679,"[0.999046559669474, 0.9488638169394565, 0.8986810742094391, 0.8482758620689655, 0.7978070872397902, 0.7472747497219132, 0.6963928174161768, 0.6455744477991419, 0.5945018274273002, 0.5430160495788972, 0.49146670904179246]"
2011,0.7466720451795079,"[0.9991932230738201, 0.949048934123561, 0.8988736152915258, 0.8485741769323859, 0.7982126788096937, 0.7476339715145686, 0.6968690849287864, 0.6458869891705713, 0.5946256244763708, 0.5430849908461849, 0.49138920780711826]"
2012,0.7465688522084671,"[0.9990829894543787, 0.948922512608895, 0.8986397676906618, 0.8482041876814916, 0.7977074736359469, 0.7472413266085893, 0.696714045544857, 0.6458810942992511, 0.5947424728717714, 0.5433593152987926, 0.49176218859850224]"
2013,0.7467910707095222,"[0.9991808749469085, 0.9490322189187549, 0.8988228869607426, 0.8485528790728718, 0.798282871185001, 0.747618469753049, 0.6967720405315212, 0.6461076390995693, 0.5950488441235362, 0.5435653176384928, 0.49171773557429765]"
2014,0.7467681834558203,"[0.9992240113072638, 0.948951029570712, 0.8987611894798104, 0.8483496383338415, 0.7978826594241055, 0.7473048249868359, 0.6965884211401491, 0.6459828728209961, 0.5951001856830086, 0.5438849319624199, 0.49242025330488043]"
2015,0.7468377218095307,"[0.9993399158392695, 0.9492285266371462, 0.8989521163948403, 0.848538188619049, 0.7979042327896807, 0.7474077944937979, 0.6967188316510355, 0.6460848758216673, 0.5950108638851453, 0.5438818449352293, 0.49214774883797685]"
2016,0.7470865336144367,"[0.9995356333142124, 0.9493840312491464, 0.8991777978092819, 0.8488076702450217, 0.7984921740555601, 0.7477669425551094, 0.6970143953672594, 0.6462618481794095, 0.5949903029309732, 0.5440465459313284, 0.49247452812150017]"
2017,0.7468042255104684,"[0.999220304350164, 0.9491315803624241, 0.8988546539764478, 0.8483895251922353, 0.7979512824649136, 0.7473248373393558, 0.6968865946120342, 0.6462063773726945, 0.5952035274506641, 0.5437167285045975, 0.491961068989622]"
2018,0.7467260815591388,"[0.9991843607756465, 0.9490883258347147, 0.8987028705238509, 0.8483700370984293, 0.7979845817875655, 0.7473360170494909, 0.6965032757123688, 0.6458020890888521, 0.5951009024653353, 0.5437945641592338, 0.4921198726550372]"
2019,0.747452178903687,"[0.9994544179158764, 0.9492348860772648, 0.8990413343378971, 0.8487698423007976, 0.7982125691720142, 0.7477851965394507, 0.6975137045023512, 0.6470343716712997, 0.5961913174508326, 0.5449845418409498, 0.493751786131823]"
2020,0.7471001156675705,"[0.999330345644671, 0.9492350486787204, 0.8990367279657961, 0.8486581156956678, 0.7981764796785659, 0.7476433317879772, 0.6970071601504146, 0.6462937207026219, 0.5954515015711122, 0.5443517230721682, 0.49291711739555966]"
2021,0.7477268111660883,"[0.9995938261575954, 0.9495329000812348, 0.8993450446791227, 0.8491825751421609, 0.7987916328188465, 0.7482737611697806, 0.6977305036555645, 0.6470857026807474, 0.5963901299756296, 0.5453645410235581, 0.4937043054427295]"
