year,alpha,xmin
2001,4.808,1198
2002,5.031,1580
2003,4.796,1522
2004,4.849,1552
2005,4.797,1682
2006,4.733,1858
2007,4.697,1964
2008,4.805,2222
2009,4.649,2136
2010,4.803,2276
2011,4.604,2298
2012,4.656,2552
2013,4.569,2472
2014,4.572,2434
2015,4.535,2590
2016,4.499,2746
2017,4.265,2418
2018,4.442,3046
2019,4.265,2566
2020,4.209,2488
2021,4.089,2406
2001,4.808,1198
2002,5.031,1580
2003,4.796,1522
2004,4.849,1552
2005,4.797,1682
2000,5.05,1172
2001,4.808,1198
2002,5.031,1580
2003,4.796,1522
2004,4.849,1552
2005,4.797,1682
2000,5.05,1172
2001,4.808,1198
2002,5.031,1580
2003,4.796,1522
2004,4.849,1552
2005,4.797,1682
2006,4.733,1858
2007,4.697,1964
2008,4.805,2222
2009,4.649,2136
2010,4.803,2276
2011,4.604,2298
2012,4.656,2552
2013,4.569,2472
2014,4.572,2434
2015,4.535,2590
2016,4.499,2746
2017,4.265,2418
2018,4.442,3046
2019,4.265,2566
2020,4.209,2488
2021,4.089,2406
