identifier,permno/dscd,region
0,10000,usa
1,10001,usa
2,10002,usa
3,10003,usa
4,10005,usa
5,10006,usa
6,10007,usa
7,10008,usa
8,10009,usa
9,10010,usa
10,10011,usa
11,10012,usa
12,10013,usa
13,10014,usa
14,10015,usa
15,10016,usa
16,10017,usa
17,10018,usa
18,10019,usa
19,10020,usa
20,10021,usa
21,10022,usa
22,10023,usa
23,10024,usa
24,10025,usa
25,10026,usa
26,10027,usa
27,10028,usa
28,10029,usa
29,10030,usa
30,10031,usa
31,10032,usa
32,10033,usa
33,10034,usa
34,10035,usa
35,10036,usa
36,10037,usa
37,10038,usa
38,10039,usa
39,10040,usa
40,10041,usa
41,10042,usa
42,10043,usa
43,10044,usa
44,10045,usa
45,10046,usa
46,10047,usa
47,10048,usa
48,10049,usa
49,10050,usa
50,10051,usa
51,10052,usa
52,10053,usa
53,10054,usa
54,10055,usa
55,10056,usa
56,10057,usa
57,10058,usa
58,10059,usa
59,10060,usa
60,10061,usa
61,10062,usa
62,10063,usa
63,10064,usa
64,10065,usa
65,10066,usa
66,10067,usa
67,10068,usa
68,10069,usa
69,10070,usa
70,10071,usa
71,10072,usa
72,10073,usa
73,10074,usa
74,10075,usa
75,10076,usa
76,10077,usa
77,10078,usa
78,10079,usa
79,10080,usa
80,10081,usa
81,10082,usa
82,10083,usa
83,10084,usa
84,10085,usa
85,10086,usa
86,10087,usa
87,10088,usa
88,10089,usa
89,10090,usa
90,10091,usa
91,10092,usa
92,10093,usa
93,10094,usa
94,10095,usa
95,10096,usa
96,10097,usa
97,10098,usa
98,10099,usa
99,10100,usa
100,10101,usa
101,10102,usa
102,10103,usa
103,10104,usa
104,10105,usa
105,10106,usa
106,10107,usa
107,10108,usa
108,10109,usa
109,10110,usa
110,10111,usa
111,10112,usa
112,10113,usa
113,10114,usa
114,10115,usa
115,10116,usa
116,10117,usa
117,10118,usa
118,10119,usa
119,10120,usa
120,10121,usa
121,10122,usa
122,10123,usa
123,10124,usa
124,10125,usa
125,10126,usa
126,10127,usa
127,10128,usa
128,10129,usa
129,10130,usa
130,10131,usa
131,10132,usa
132,10133,usa
133,10134,usa
134,10135,usa
135,10136,usa
136,10137,usa
137,10138,usa
138,10139,usa
139,10140,usa
140,10141,usa
141,10142,usa
142,10143,usa
143,10144,usa
144,10145,usa
145,10146,usa
146,10147,usa
147,10148,usa
148,10149,usa
149,10150,usa
150,10151,usa
151,10152,usa
152,10153,usa
153,10154,usa
154,10155,usa
155,10156,usa
156,10157,usa
157,10158,usa
158,10159,usa
159,10160,usa
160,10161,usa
161,10162,usa
162,10163,usa
163,10164,usa
164,10165,usa
165,10166,usa
166,10167,usa
167,10168,usa
168,10169,usa
169,10170,usa
170,10171,usa
171,10172,usa
172,10173,usa
173,10174,usa
174,10175,usa
175,10176,usa
176,10177,usa
177,10178,usa
178,10179,usa
179,10180,usa
180,10181,usa
181,10182,usa
182,10183,usa
183,10184,usa
184,10185,usa
185,10186,usa
186,10187,usa
187,10188,usa
188,10189,usa
189,10190,usa
190,10191,usa
191,10192,usa
192,10193,usa
193,10194,usa
194,10195,usa
195,10196,usa
196,10197,usa
197,10198,usa
198,10199,usa
199,10200,usa
200,10201,usa
201,10202,usa
202,10203,usa
203,10204,usa
204,10205,usa
205,10206,usa
206,10207,usa
207,10208,usa
208,10209,usa
209,10210,usa
210,10211,usa
211,10212,usa
212,10213,usa
213,10214,usa
214,10215,usa
215,10216,usa
216,10217,usa
217,10218,usa
218,10219,usa
219,10220,usa
220,10221,usa
221,10222,usa
222,10223,usa
223,10224,usa
224,10225,usa
225,10226,usa
226,10227,usa
227,10228,usa
228,10229,usa
229,10230,usa
230,10231,usa
231,10232,usa
232,10233,usa
233,10234,usa
234,10235,usa
235,10236,usa
236,10237,usa
237,10238,usa
238,10239,usa
239,10240,usa
240,10241,usa
241,10242,usa
242,10243,usa
243,10244,usa
244,10245,usa
245,10246,usa
246,10247,usa
247,10248,usa
248,10249,usa
249,10250,usa
250,10251,usa
251,10252,usa
252,10253,usa
253,10254,usa
254,10255,usa
255,10256,usa
256,10257,usa
257,10258,usa
258,10259,usa
259,10260,usa
260,10261,usa
261,10262,usa
262,10263,usa
263,10264,usa
264,10265,usa
265,10266,usa
266,10267,usa
267,10268,usa
268,10269,usa
269,10270,usa
270,10271,usa
271,10272,usa
272,10273,usa
273,10274,usa
274,10275,usa
275,10276,usa
276,10277,usa
277,10278,usa
278,10279,usa
279,10280,usa
280,10281,usa
281,10282,usa
282,10283,usa
283,10284,usa
284,10285,usa
285,10286,usa
286,10287,usa
287,10288,usa
288,10289,usa
289,10290,usa
290,10291,usa
291,10292,usa
292,10293,usa
293,10294,usa
294,10295,usa
295,10296,usa
296,10297,usa
297,10298,usa
298,10299,usa
299,10300,usa
300,10301,usa
301,10302,usa
302,10303,usa
303,10304,usa
304,10305,usa
305,10306,usa
306,10307,usa
307,10308,usa
308,10309,usa
309,10310,usa
310,10311,usa
311,10312,usa
312,10313,usa
313,10314,usa
314,10315,usa
315,10316,usa
316,10317,usa
317,10318,usa
318,10319,usa
319,10320,usa
320,10321,usa
321,10322,usa
322,10323,usa
323,10324,usa
324,10325,usa
325,10326,usa
326,10327,usa
327,10328,usa
328,10329,usa
329,10330,usa
330,10331,usa
331,10332,usa
332,10333,usa
333,10334,usa
334,10335,usa
335,10336,usa
336,10337,usa
337,10338,usa
338,10339,usa
339,10340,usa
340,10341,usa
341,10342,usa
342,10343,usa
343,10344,usa
344,10345,usa
345,10346,usa
346,10347,usa
347,10348,usa
348,10349,usa
349,10350,usa
350,10351,usa
351,10352,usa
352,10353,usa
353,10354,usa
354,10355,usa
355,10356,usa
356,10357,usa
357,10358,usa
358,10359,usa
359,10360,usa
360,10361,usa
361,10362,usa
362,10363,usa
363,10364,usa
364,10365,usa
365,10366,usa
366,10367,usa
367,10368,usa
368,10369,usa
369,10370,usa
370,10371,usa
371,10372,usa
372,10373,usa
373,10374,usa
374,10375,usa
375,10376,usa
376,10377,usa
377,10378,usa
378,10379,usa
379,10380,usa
380,10381,usa
381,10382,usa
382,10383,usa
383,10384,usa
384,10385,usa
385,10386,usa
386,10387,usa
387,10388,usa
388,10389,usa
389,10390,usa
390,10391,usa
391,10392,usa
392,10393,usa
393,10394,usa
394,10395,usa
395,10396,usa
396,10397,usa
397,10398,usa
398,10399,usa
399,10400,usa
400,10401,usa
401,10402,usa
402,10403,usa
403,10404,usa
404,10405,usa
405,10406,usa
406,10407,usa
407,10408,usa
408,10409,usa
409,10410,usa
410,10411,usa
411,10412,usa
412,10413,usa
413,10414,usa
414,10415,usa
415,10416,usa
416,10417,usa
417,10418,usa
418,10419,usa
419,10420,usa
420,10421,usa
421,10422,usa
422,10423,usa
423,10424,usa
424,10425,usa
425,10426,usa
426,10427,usa
427,10428,usa
428,10429,usa
429,10430,usa
430,10431,usa
431,10432,usa
432,10433,usa
433,10434,usa
434,10435,usa
435,10436,usa
436,10437,usa
437,10438,usa
438,10439,usa
439,10440,usa
440,10441,usa
441,10442,usa
442,10443,usa
443,10444,usa
444,10445,usa
445,10446,usa
446,10447,usa
447,10448,usa
448,10449,usa
449,10450,usa
450,10451,usa
451,10452,usa
452,10453,usa
453,10454,usa
454,10455,usa
455,10456,usa
456,10457,usa
457,10458,usa
458,10459,usa
459,10460,usa
460,10461,usa
461,10462,usa
462,10463,usa
463,10464,usa
464,10465,usa
465,10466,usa
466,10467,usa
467,10468,usa
468,10469,usa
469,10470,usa
470,10471,usa
471,10472,usa
472,10473,usa
473,10474,usa
474,10475,usa
475,10476,usa
476,10477,usa
477,10478,usa
478,10479,usa
479,10480,usa
480,10481,usa
481,10482,usa
482,10483,usa
483,10484,usa
484,10485,usa
485,10486,usa
486,10487,usa
487,10488,usa
488,10489,usa
489,10490,usa
490,10491,usa
491,10492,usa
492,10493,usa
493,10494,usa
494,10495,usa
495,10496,usa
496,10497,usa
497,10498,usa
498,10499,usa
499,10500,usa
500,10501,usa
