"year","node_count","edge_count","avg_degree","clustering_coef","density","is_connected","avg_path_length"
2000,500,2910,11.64,0.425455641359475,0.0116633266533066,FALSE,NA
2001,500,2462,9.848,0.436536813884534,0.00986773547094189,FALSE,NA
2002,500,2836,11.344,0.413788374399858,0.0113667334669339,FALSE,NA
2003,500,2556,10.224,0.408740690575236,0.0102444889779559,FALSE,NA
2004,500,2840,11.36,0.389263950526454,0.0113827655310621,FALSE,NA
2005,500,2906,11.624,0.397813106283238,0.0116472945891784,FALSE,NA
2006,500,2762,11.048,0.392086568032607,0.0110701402805611,FALSE,NA
2007,500,2702,10.808,0.43118491778172,0.0108296593186373,FALSE,NA
2008,500,2248,8.992,0.382444489618718,0.00901002004008016,FALSE,NA
2009,500,2460,9.84,0.427341761777597,0.00985971943887775,FALSE,NA
2010,500,2578,10.312,0.389239840525134,0.0103326653306613,FALSE,NA
2011,500,2490,9.96,0.416050469168435,0.00997995991983968,FALSE,NA
2012,500,2104,8.416,0.376399241422581,0.00843286573146293,FALSE,NA
2013,500,2630,10.52,0.413916113707199,0.0105410821643287,FALSE,NA
2014,500,2082,8.328,0.39212108764875,0.00834468937875751,FALSE,NA
2015,500,2866,11.464,0.42244329351658,0.0114869739478958,FALSE,NA
2016,500,2902,11.608,0.487579813216644,0.0116312625250501,FALSE,NA
2017,500,2466,9.864,0.41033265812054,0.00988376753507014,FALSE,NA
2018,500,2016,8.064,0.368861497198196,0.00808016032064128,FALSE,NA
2019,500,2208,8.832,0.384994184909261,0.0088496993987976,FALSE,NA
2020,500,2886,11.544,0.435798062668661,0.0115671342685371,FALSE,NA
2021,500,2654,10.616,0.419868219786372,0.0106372745490982,FALSE,NA
